customer_id,bread,butter,milk,eggs,snacks
cus1,1,0,0,0,1
cus2,1,1,0,0,0
cus3,1,0,0,0,1
cus4,1,1,0,0,1
cus5,0,1,1,1,0
cus6,0,0,0,0,1
cus7,0,0,1,0,0
cus8,0,0,1,0,0
cus9,1,1,1,0,1
cus10,0,0,0,0,1
cus11,0,0,0,0,0
cus12,0,1,1,1,1
cus13,1,1,0,0,1
cus14,1,1,0,1,0
cus15,0,0,1,0,0
cus16,0,0,1,1,1
cus17,0,0,1,1,1
cus18,1,1,0,0,0
cus19,1,1,0,0,0
cus20,1,1,1,1,1
cus21,1,1,1,1,0
cus22,1,1,0,0,1
cus23,1,1,0,0,0
cus24,0,0,1,0,0
cus25,0,0,1,1,1
cus26,1,0,0,1,0
cus27,1,1,1,1,0
cus28,1,1,0,0,0
cus29,0,0,1,1,1
cus30,1,1,0,1,1
cus31,0,0,1,1,0
cus32,1,1,0,0,0
cus33,1,1,0,0,1
cus34,0,0,1,1,0
cus35,0,1,0,0,0
cus36,1,1,1,0,1
cus37,1,1,0,0,1
cus38,0,0,0,0,1
cus39,1,0,0,0,1
cus40,1,1,0,0,0
cus41,0,1,1,0,0
cus42,1,1,0,1,1
cus43,1,1,0,0,0
cus44,1,1,0,0,0
cus45,0,0,1,1,1
cus46,1,0,1,0,0
cus47,0,0,0,0,1
cus48,0,0,1,1,1
cus49,0,0,0,0,1
cus50,0,0,0,0,0
cus51,1,1,0,0,1
cus52,0,0,0,0,1
cus53,0,0,1,1,0
cus54,0,0,0,0,1
cus55,0,0,0,0,0
cus56,1,0,0,0,0
cus57,0,0,1,1,0
cus58,1,1,0,0,0
cus59,1,1,0,0,1
cus60,1,0,1,1,1
cus61,1,1,0,0,0
cus62,0,0,1,0,1
cus63,1,1,1,0,0
cus64,0,0,1,1,1
cus65,1,1,0,0,0
cus66,0,0,0,0,1
cus67,1,0,1,1,1
cus68,1,0,0,0,1
cus69,1,1,1,1,1
cus70,0,0,1,1,0
cus71,1,0,0,1,1
cus72,0,1,0,0,0
cus73,1,1,1,1,0
cus74,1,0,0,1,1
cus75,1,1,1,0,1
cus76,1,0,1,0,1
cus77,1,1,0,0,0
cus78,0,0,1,0,0
cus79,0,0,1,0,1
cus80,0,0,1,0,0
cus81,1,0,0,0,1
cus82,0,0,1,0,1
cus83,1,0,0,0,0
cus84,1,1,1,0,0
cus85,0,0,1,1,1
cus86,1,1,0,0,1
cus87,1,0,0,1,1
cus88,0,1,0,0,1
cus89,1,0,1,1,0
cus90,0,0,0,0,1
cus91,0,0,1,0,1
cus92,1,1,1,1,1
cus93,1,1,0,0,0
cus94,1,1,0,0,0
cus95,1,0,1,0,1
cus96,0,1,0,0,0
cus97,0,0,1,1,0
cus98,0,1,1,0,0
cus99,1,1,1,1,1
cus100,1,1,1,0,0
cus101,0,0,1,0,0
cus102,1,0,0,0,0
cus103,0,0,0,0,1
cus104,1,1,0,0,1
cus105,0,0,0,0,0
cus106,1,1,1,1,0
cus107,0,0,0,0,0
cus108,0,0,1,1,1
cus109,0,0,1,0,0
cus110,1,1,0,0,0
cus111,1,0,0,0,0
cus112,1,1,1,0,0
cus113,0,0,1,1,1
cus114,0,0,1,0,1
cus115,1,0,1,1,0
cus116,0,1,0,0,1
cus117,1,0,1,1,0
cus118,1,1,1,1,1
cus119,1,1,1,1,0
cus120,1,1,1,1,1
cus121,1,1,1,1,1
cus122,1,1,1,1,0
cus123,1,0,0,1,0
cus124,0,1,1,0,0
cus125,1,1,1,1,0
cus126,1,1,0,1,1
cus127,0,0,0,0,1
cus128,1,1,1,1,1
cus129,1,1,1,1,1
cus130,0,0,0,0,0
cus131,1,1,0,0,0
cus132,1,1,1,1,0
cus133,1,0,0,0,1
cus134,1,1,1,1,1
cus135,1,0,1,1,1
cus136,0,1,1,0,0
cus137,0,0,1,0,0
cus138,0,0,1,0,1
cus139,1,1,0,0,1
cus140,0,0,0,1,0
cus141,1,1,1,1,1
cus142,0,0,0,0,0
cus143,0,0,1,1,1
cus144,0,0,0,1,0
cus145,0,0,1,0,0
cus146,0,1,0,0,1
